Hour,Price,Volume,operation,SpotForecast,yhat_lower,yhat_upper,on_range,distance,weight,distance_weighted,Price_Diff,block,Block_price_x,Block_price_y,Block_price
2,21.5,249.30431263981217,sell,21.5007843137255,19.35070588235295,23.650862745098053,1,0.0007843137255001409,0.1337731427510879,171.56075700547441,,1,21.5,21.5,
4,21.5,146.60207754337227,sell,22.7003921568627,20.43035294117643,24.970431372548973,1,0.19960784313729718,0.061187066017448936,1.3065363818162314,1.3999999999999986,1,21.5,21.5,
3,21.5,171.7259680231689,sell,20.4539215686275,18.40852941176475,22.499313725490254,0,3.1460784313725014,0.3335773171854247,0.10602956171054483,0.7000000000000028,1,21.5,21.5,
0,28.8,391.62690080806306,sell,29.4619607843137,26.51576470588233,32.408156862745074,1,0.661960784313699,0.15764769179064392,1.238152614968103,5.199999999999999,2,28.8,28.8,
5,33.0,184.8394653632248,sell,31.4186274509804,28.27676470588236,34.56049019607844,1,1.5813725490196013,0.3624429871696281,1.2291951933744714,4.199999999999999,3,33.0,33.0,
13,53.2,279.2950861422021,sell,53.3956862745098,48.05611764705882,58.735254901960786,1,0.19568627450979648,0.15058585195683816,1.7695268987774586,20.200000000000003,4,53.2,53.2,
6,53.2,124.72809532787731,sell,51.0172549019608,45.915529411764716,56.11898039215688,1,3.982745098039203,0.39278205904954994,1.0986209384183099,1.7999999999999972,4,53.2,53.2,
12,53.2,523.3391911019476,sell,55.5664705882353,50.00982352941177,61.123117647058834,1,0.33352941176470097,0.06754996916007833,1.2025307717321603,0.8999999999999986,4,53.2,53.2,
15,53.2,79.46694779468098,sell,60.3152941176471,54.28376470588239,66.34682352941181,1,2.4152941176471003,0.2521736375540914,1.1044070101904404,2.0,4,53.2,53.2,
14,53.2,45.33368593471181,sell,56.2929411764706,50.66364705882354,61.92223529411766,1,4.407058823529404,0.6155405469444997,1.139671506914796,2.8000000000000043,4,53.2,53.2,
11,53.2,44.03581515172736,sell,60.4172549019608,54.375529411764724,66.45898039215689,1,2.7827450980392,0.6600304227342392,1.2371868063658849,2.5,4,53.2,53.2,
10,53.2,22.59398867305646,sell,64.3105882352941,57.87952941176469,70.74164705882352,1,0.6894117647058948,0.26358945947053286,1.382339659641551,1.7999999999999972,4,53.2,53.2,
22,53.2,53.170382722370604,sell,55.3901960784314,49.851176470588264,60.929215686274546,0,11.309803921568601,0.6683017005707802,0.059090476298734165,1.7000000000000028,4,53.2,53.2,
9,71.6,163.134533337358,sell,71.6856862745098,64.51711764705883,78.85425490196079,1,0.08568627450981126,0.26689767639080036,4.114824140945,4.8999999999999915,5,71.6,71.6,
16,71.6,187.79401168698118,sell,68.1290196078431,61.316117647058796,74.94192156862742,1,3.470980392156889,0.20871731675466,1.0601320932916483,0.0,5,71.6,71.6,
8,74.6,494.468550033258,sell,74.4666666666667,67.02000000000002,81.91333333333337,1,0.13333333333329733,0.052974724017296006,1.3973104301298274,3.0,6,74.6,74.6,
20,74.6,358.698237358372,sell,70.3909803921569,63.35188235294122,77.4300784313726,1,4.709019607843089,0.2589258247994579,1.0549850810491859,0.5,6,74.6,74.6,
21,74.6,15.1459069265778,sell,61.0337254901961,54.93035294117649,67.13709803921572,0,14.2662745098039,1.0,0.07009538469996437,0.20000000000000284,6,74.6,74.6,
7,74.6,73.95982371833993,sell,64.3635294117647,57.927176470588236,70.79988235294118,0,11.8364705882353,0.7590143675980886,0.06412505838966057,0.9000000000000057,6,74.6,74.6,
17,79.6,69.27544798106815,sell,77.9017647058823,70.11158823529408,85.69194117647054,1,1.6982352941176941,0.24726590989233357,1.1456016788420351,3.3999999999999915,7,79.6,79.6,
18,84.4,391.99422591883706,sell,81.961568627451,73.7654117647059,90.15772549019611,1,2.4384313725490045,0.15095062693771108,1.0619048084096439,4.800000000000011,8,84.4,84.4,
19,88.0,57.50379015729607,sell,80.3654901960784,72.32894117647056,88.40203921568624,1,7.634509803921603,0.0883184570787235,1.0115683206056474,3.5999999999999943,9,88.0,88.0,
4,13.1,24.42946923434231,buy,22.7003921568627,20.43035294117643,24.970431372548973,0,9.600392156862702,1.0,0.10416241166619057,,1,,,13.1
0,13.1,47.8336726680869,buy,29.4619607843137,26.51576470588233,32.408156862745074,0,15.2619607843137,1.0,0.06552238038953709,1.0999999999999996,1,,,13.1
3,17.1,3.7733696453326644,buy,20.4539215686275,18.40852941176475,22.499313725490254,0,3.3539215686274986,1.0,0.29815843320666047,2.900000000000002,2,,,17.1
5,25.6,223.42303312302195,buy,31.4186274509804,28.27676470588236,34.56049019607844,0,5.818627450980397,0.28698439579569945,0.049321665326303825,8.5,3,,,25.6
1,33.3,56.41271341380788,buy,24.5243137254902,22.07188235294118,26.97674509803922,0,8.775686274509798,0.6979908275572121,0.07953689383639699,7.699999999999996,4,,,33.3
23,46.0,443.9986881264937,buy,46.7201960784314,42.04817647058826,51.39221568627455,1,0.7201960784313997,0.18891940208954985,1.2623166214692807,12.700000000000003,5,,,46.0
6,55.1,9.977870583709418,buy,51.0172549019608,45.915529411764716,56.11898039215688,1,2.017254901960797,0.5957557905657874,1.2953299506109541,3.0,6,,,55.1
13,55.1,249.1243178731551,buy,53.3956862745098,48.05611764705882,58.735254901960786,1,3.295686274509798,0.09441259278840235,1.0286473240850103,1.1000000000000014,6,,,55.1
12,55.1,129.08543595860604,buy,55.5664705882353,50.00982352941177,61.123117647058834,1,5.066470588235298,0.28462353039836574,1.0561778708553606,0.3999999999999986,6,,,55.1
14,55.1,75.75998415442558,buy,56.2929411764706,50.66364705882354,61.92223529411766,1,4.092941176470596,0.44122388777669286,1.1078011798247163,1.7000000000000028,6,,,55.1
22,55.1,318.92274269699067,buy,55.3901960784314,49.851176470588264,60.929215686274546,1,0.29019607843139994,0.030240844534318235,1.1042083156250058,2.8999999999999986,6,,,55.1
11,58.5,174.65571231845064,buy,60.4172549019608,54.375529411764724,66.45898039215689,1,1.9172549019608027,0.40135657520721846,1.2093391832232352,3.3999999999999986,7,,,58.5
9,58.5,133.2369446791977,buy,71.6856862745098,64.51711764705883,78.85425490196079,0,10.285686274509807,0.46433493306652984,0.04514379698875844,2.8999999999999986,7,,,58.5
16,58.5,79.7543391340297,buy,68.1290196078431,61.316117647058796,74.94192156862742,1,6.529019607843104,0.6102148533949706,1.0934619422281928,0.20000000000000284,7,,,58.5
8,66.5,32.73691139607461,buy,74.4666666666667,67.02000000000002,81.91333333333337,0,9.266666666666694,1.0,0.10791366906474788,3.6000000000000014,8,,,66.5
21,66.5,221.31863859616053,buy,61.0337254901961,54.93035294117649,67.13709803921572,1,4.2662745098039,0.42543847409474966,1.0997213079273478,0.09999999999999432,8,,,66.5
7,66.5,200.494659793521,buy,64.3635294117647,57.927176470588236,70.79988235294118,1,2.136470588235298,0.32397584358999537,1.1516406756891495,1.2000000000000028,8,,,66.5
17,76.7,305.3127893159717,buy,77.9017647058823,70.11158823529408,85.69194117647054,1,1.2017647058822973,0.18118138720904023,1.1507627793712103,10.200000000000003,9,,,76.7
19,82.5,34.97378820416143,buy,80.3654901960784,72.32894117647056,88.40203921568624,1,2.1345098039216026,1.0,1.4684916406393458,5.799999999999997,10,,,82.5
